Type,Algorithm,Time,Comparisons
RANDOM_100,std::sort,0.160708,861
RANDOM_100,MergeSort,0.199717,607
RANDOM_100,MergeSort LCP,0.335958,612
RANDOM_100,Ternary QuickSort,0.0675584,715
RANDOM_100,MSD Radix,0.410992,364
RANDOM_100,MSD Radix + Quick,0.050358,308
REVERSED_100,std::sort,0.0418418,354
REVERSED_100,MergeSort,0.125841,367
REVERSED_100,MergeSort LCP,0.254225,412
REVERSED_100,Ternary QuickSort,0.231883,3182
REVERSED_100,MSD Radix,0.284508,340
REVERSED_100,MSD Radix + Quick,0.0427668,313
ALMOST_100,std::sort,0.0491834,475
ALMOST_100,MergeSort,0.0960918,471
ALMOST_100,MergeSort LCP,0.239333,431
ALMOST_100,Ternary QuickSort,0.0849418,1113
ALMOST_100,MSD Radix,0.332341,358
ALMOST_100,MSD Radix + Quick,0.040275,311
WITHPREFIX_100,std::sort,0.772142,13163
WITHPREFIX_100,MergeSort,0.588325,8665
WITHPREFIX_100,MergeSort LCP,0.453725,8762
WITHPREFIX_100,Ternary QuickSort,0.0881584,2258
WITHPREFIX_100,MSD Radix,0.586108,3348
WITHPREFIX_100,MSD Radix + Quick,0.3549,3298
RANDOM_200,std::sort,0.162058,1914
RANDOM_200,MergeSort,0.213833,1471
RANDOM_200,MergeSort LCP,0.394625,1476
RANDOM_200,Ternary QuickSort,0.0761998,1550
RANDOM_200,MSD Radix,0.405567,786
RANDOM_200,MSD Radix + Quick,0.0514084,716
REVERSED_200,std::sort,0.04725,752
REVERSED_200,MergeSort,0.157408,913
REVERSED_200,MergeSort LCP,0.326166,1013
REVERSED_200,Ternary QuickSort,0.332425,7236
REVERSED_200,MSD Radix,0.361792,780
REVERSED_200,MSD Radix + Quick,0.05185,802
ALMOST_200,std::sort,0.0701,1213
ALMOST_200,MergeSort,0.158808,1348
ALMOST_200,MergeSort LCP,0.332675,1270
ALMOST_200,Ternary QuickSort,0.108975,2498
ALMOST_200,MSD Radix,0.362042,784
ALMOST_200,MSD Radix + Quick,0.0464168,718
WITHPREFIX_200,std::sort,0.756117,19830
WITHPREFIX_200,MergeSort,0.606833,14240
WITHPREFIX_200,MergeSort LCP,0.570417,14286
WITHPREFIX_200,Ternary QuickSort,0.102092,3568
WITHPREFIX_200,MSD Radix,0.575017,4780
WITHPREFIX_200,MSD Radix + Quick,0.295392,4719
RANDOM_300,std::sort,0.207608,3366
RANDOM_300,MergeSort,0.27455,2550
RANDOM_300,MergeSort LCP,0.492817,2551
RANDOM_300,Ternary QuickSort,0.109525,2793
RANDOM_300,MSD Radix,0.400667,1214
RANDOM_300,MSD Radix + Quick,0.066475,1226
REVERSED_300,std::sort,0.0562334,1169
REVERSED_300,MergeSort,0.199075,1515
REVERSED_300,MergeSort LCP,0.417967,1694
REVERSED_300,Ternary QuickSort,0.423217,11092
REVERSED_300,MSD Radix,0.430683,1230
REVERSED_300,MSD Radix + Quick,0.07035,1428
ALMOST_300,std::sort,0.0964498,1908
ALMOST_300,MergeSort,0.230616,2266
ALMOST_300,MergeSort LCP,0.45885,2123
ALMOST_300,Ternary QuickSort,0.157833,4224
ALMOST_300,MSD Radix,0.427408,1224
ALMOST_300,MSD Radix + Quick,0.0679086,1243
WITHPREFIX_300,std::sort,1.25067,36413
WITHPREFIX_300,MergeSort,1.04878,27871
